reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
D1,B1,User1,"[0, 0]","This is the best purchase I have ever made. High quality and works perfectly!",5.0,Excellent,1393545600,"02 28, 2026"
D2,B1,User2,"[0, 0]","Absolute garbage. Stopped working after one use. Stay away!",1.0,Terrible,1393545600,"02 28, 2026"
D3,B1,User3,"[0, 0]","It is an okay product. Does the job but feels a bit cheap.",3.0,Average,1393545600,"02 28, 2026"
D4,B1,User4,"[0, 0]","Incredible sound quality and very easy to set up. Highly recommended!",5.0,Great,1393545600,"02 28, 2026"
D5,B1,User5,"[0, 0]","Very disappointed. The item arrived broken and customer service was unhelpful.",1.0,Disappointed,1393545600,"02 28, 2026"
D6,B1,User6,"[0, 0]","Decent quality for the price. Not the best but not the worst.",3.0,Okay,1393545600,"02 28, 2026"
D7,B1,User7,"[0, 0]","Perfect for beginners. Simple, durable, and affordable.",5.0,Perfect,1393545600,"02 28, 2026"
D8,B1,User8,"[0, 0]","Waste of money. Does not fit as described and feels flimsy.",1.0,Waste,1393545600,"02 28, 2026"
D9,B1,User9,"[0, 0]","Middle of the road. It works as intended but nothing special about it.",3.0,Middling,1393545600,"02 28, 2026"
D10,B1,User10,"[0, 0]","Fantastic product! Exceeded my expectations in every way.",5.0,Fantastic,1393545600,"02 28, 2026"
D11,B1,User11,"[0, 0]","I regret buying this. It has a bad smell and feels very low quality.",1.0,Regret,1393545600,"02 28, 2026"
D12,B1,User12,"[0, 0]","For the price, it is fine. Just don't expect pro quality.",3.0,Fine,1393545600,"02 28, 2026"
D13,B1,User13,"[0, 0]","Beautifully designed and very functional. 5 stars!",5.0,Beautiful,1393545600,"02 28, 2026"
D14,B1,User14,"[0, 0]","Broken upon arrival. The material is very thin and easily damaged.",1.0,Broken,1393545600,"02 28, 2026"
D15,B1,User15,"[0, 0]","Just an average item. Neither good nor bad.",3.0,Average,1393545600,"02 28, 2026"
